,date,open,close,high,low,sema,lema,dif,dea,macd
76,2016-04-27,3.44,3.39,3.46,3.37,3.5561441798188596,3.5413911122173807,0.01,0.07,-0.12000000000000001
77,2016-04-28,3.41,3.34,3.41,3.261,3.5228911561520486,3.5264362923684205,-0.0,0.05,-0.1
78,2016-04-29,3.31,3.35,3.41,3.29,3.4962924673860445,3.51333696146448,-0.02,0.04,-0.12
79,2016-05-03,3.36,3.42,3.43,3.35,3.4845551462816813,3.5064084319744304,-0.02,0.03,-0.1
80,2016-05-04,3.4,3.39,3.42,3.37,3.4700081813727106,3.4977686347848387,-0.03,0.02,-0.1
81,2016-05-05,3.39,3.38,3.4,3.35,3.456160753286492,3.4890291563370233,-0.03,0.01,-0.08
82,2016-05-06,3.38,3.36,3.52,3.35,3.441366777169648,3.4794553378046302,-0.04,-0.0,-0.08
83,2016-05-09,3.32,3.251,3.39,3.241,3.4120795571086164,3.4625063235291065,-0.05,-0.01,-0.08
84,2016-05-10,3.29,3.271,3.32,3.251,3.3903749950787585,3.448300183948854,-0.06,-0.02,-0.07999999999999999
85,2016-05-11,3.29,3.261,3.32,3.241,3.370471138211592,3.434407546341996,-0.06,-0.03,-0.06
86,2016-05-12,3.251,3.221,3.251,3.181,3.347475567273362,3.4185800119418297,-0.07,-0.04,-0.06000000000000001
87,2016-05-13,3.271,3.34,3.47,3.241,3.346325479525998,3.41275259940344,-0.07,-0.04,-0.06000000000000001
88,2016-05-16,3.35,3.31,3.35,3.261,3.3407369422631645,3.405133219575165,-0.06,-0.05,-0.01999999999999999
89,2016-05-17,3.31,3.251,3.31,3.221,3.3269312547595855,3.3937047277171777,-0.07,-0.05,-0.04000000000000001
90,2016-05-18,3.211,3.131,3.231,3.101,3.296787977261633,3.3742274185034886,-0.08,-0.06,-0.04000000000000001
91,2016-05-19,3.131,3.131,3.171,3.121,3.2712821292111594,3.356195400129364,-0.08,-0.06,-0.04000000000000001
92,2016-05-20,3.101,3.111,3.121,3.071,3.2466233356884873,3.338018616445758,-0.09,-0.07,-0.03999999999999998
93,2016-05-23,3.111,3.121,3.161,3.101,3.2272966657326805,3.321931558416644,-0.09,-0.07,-0.03999999999999998
94,2016-05-24,3.131,3.091,3.141,3.081,3.206327945240709,3.3048140834541453,-0.1,-0.08,-0.04000000000000001
95,2016-05-25,3.101,3.131,3.171,3.101,3.1947390293317453,3.291930998344278,-0.1,-0.08,-0.04000000000000001
96,2016-05-26,3.111,3.111,3.131,3.061,3.181856100560294,3.2785210228340533,-0.1,-0.09,-0.020000000000000018
97,2016-05-27,3.111,3.101,3.121,3.091,3.1694166995084125,3.265364341248519,-0.1,-0.09,-0.020000000000000018
98,2016-05-30,3.101,3.111,3.141,3.091,3.1604295143783094,3.253924328984946,-0.09,-0.09,0.0
99,2016-05-31,3.111,3.201,3.201,3.111,3.166671127897798,3.2500022253515284,-0.08,-0.09,0.01999999999999999
100,2016-06-01,3.181,3.181,3.221,3.171,3.168875569863352,3.244888797049702,-0.08,-0.09,0.01999999999999999
101,2016-06-02,3.181,3.181,3.181,3.151,3.170740866881682,3.2401544483911673,-0.07,-0.08,0.01999999999999999
102,2016-06-03,3.181,3.171,3.191,3.151,3.1707807335166116,3.235030047405663,-0.06,-0.08,0.04000000000000001
103,2016-06-06,3.171,3.151,3.181,3.141,3.167737543658117,3.2288035189128528,-0.06,-0.08,0.04000000000000001
104,2016-06-07,3.151,3.161,3.161,3.131,3.1667009984549557,3.2237794816456713,-0.06,-0.07,0.020000000000000018
105,2016-06-08,3.151,3.141,3.151,3.121,3.162746998611994,3.2176459110952726,-0.05,-0.07,0.04000000000000001
106,2016-06-13,3.121,3.021,3.121,3.001,3.140939767679877,3.203075682532658,-0.06,-0.07,0.020000000000000018
107,2016-06-14,3.021,3.041,3.051,3.011,3.1255644185814795,3.1910671270768565,-0.07,-0.07,0.0
108,2016-06-15,3.021,3.081,3.111,2.991,3.1187083540995957,3.1829121520250983,-0.06,-0.07,0.020000000000000018
109,2016-06-16,3.081,3.041,3.081,3.031,3.1067532225746377,3.1723979268325238,-0.07,-0.07,0.0
110,2016-06-17,3.051,3.051,3.071,3.041,3.098175803641103,3.163403734228939,-0.07,-0.07,0.0
111,2016-06-20,3.051,3.041,3.051,3.021,3.0893795260919963,3.1543351538395874,-0.06,-0.07,0.020000000000000018
112,2016-06-21,3.051,3.041,3.081,3.031,3.0819365220306882,3.1459385537372797,-0.06,-0.07,0.020000000000000018
113,2016-06-22,3.041,3.061,3.061,3.031,3.078715518624085,3.1396458350805143,-0.06,-0.06,0.0
114,2016-06-23,3.051,3.041,3.061,3.031,3.072913131117137,3.13233768887543,-0.06,-0.06,0.0
115,2016-06-24,3.041,3.001,3.061,2.971,3.0618495724412678,3.1226076800877474,-0.06,-0.06,0.0
116,2016-06-27,2.991,3.031,3.041,2.971,3.0571034843579663,3.1158210921875984,-0.06,-0.06,0.0
117,2016-06-28,3.011,3.051,3.051,3.011,3.0561644867618525,3.1110189835063045,-0.05,-0.06,0.01999999999999999
118,2016-06-29,3.051,3.071,3.101,3.051,3.0584468734191823,3.1080543020726843,-0.05,-0.06,0.01999999999999999
119,2016-06-30,3.071,3.051,3.081,3.041,3.0573012005832076,3.1038276452383142,-0.05,-0.06,0.01999999999999999
120,2016-07-01,3.051,3.051,3.071,3.041,3.0563317851072545,3.0999141329108206,-0.04,-0.05,0.020000000000000004
121,2016-07-04,3.051,3.101,3.111,3.031,3.0632038181773575,3.0999945742363937,-0.04,-0.05,0.020000000000000004
122,2016-07-05,3.101,3.171,3.231,3.091,3.079787846169839,3.1052546426619227,-0.03,-0.05,0.04000000000000001
123,2016-07-06,3.171,3.141,3.171,3.121,3.089205100614747,3.107902636742021,-0.02,-0.04,0.04
124,2016-07-07,3.141,3.151,3.151,3.111,3.0987120082205917,3.111095245942527,-0.01,-0.03,0.039999999999999994
125,2016-07-08,3.141,3.121,3.141,3.101,3.102140930035284,3.1118289765248273,-0.01,-0.03,0.039999999999999994
126,2016-07-11,3.121,3.131,3.161,3.121,3.106580786955645,3.1132491331578875,-0.01,-0.02,0.02
127,2016-07-12,3.131,3.181,3.191,3.121,3.1180298966606963,3.118267980348928,-0.0,-0.02,0.04
128,2016-07-13,3.181,3.201,3.211,3.171,3.130794527949251,3.124396577118348,0.01,-0.01,0.04
129,2016-07-14,3.181,3.171,3.201,3.161,3.1369799851901177,3.1278488384777887,0.01,-0.01,0.04
130,2016-07-15,3.191,3.181,3.211,3.171,3.14375229516299,3.131786126250318,0.01,-0.01,0.04
131,2016-07-18,3.191,3.191,3.211,3.151,3.1510211728321487,3.1361725090118333,0.01,-0.0,0.02
132,2016-07-19,3.191,3.171,3.191,3.151,3.154094838550969,3.138752415680999,0.02,0.0,0.04
133,2016-07-20,3.171,3.191,3.201,3.161,3.159772555698051,3.1426227356299403,0.02,0.0,0.04
134,2016-07-21,3.181,3.181,3.191,3.161,3.163038316360414,3.1454655833607275,0.02,0.01,0.02
135,2016-07-22,3.181,3.151,3.181,3.141,3.1611862676893296,3.1458755518201342,0.02,0.01,0.02
136,2016-07-25,3.141,3.151,3.171,3.121,3.159619149583099,3.146255150580424,0.01,0.01,0.0
137,2016-07-26,3.151,3.181,3.181,3.141,3.1629085111860196,3.148828905948731,0.01,0.01,0.0
138,2016-07-27,3.171,3.091,3.201,3.061,3.151845663310337,3.144545186476132,0.01,0.01,0.0
139,2016-07-28,3.091,3.091,3.111,3.071,3.142484792031172,3.140578793368338,0.0,0.01,-0.02
140,2016-07-29,3.091,3.081,3.111,3.071,3.1330255932565882,3.1361654639051433,-0.0,0.01,-0.02
141,2016-08-01,3.081,3.061,3.091,3.041,3.1219447327550225,3.1305975518746947,-0.01,0.0,-0.02
142,2016-08-02,3.071,3.091,3.101,3.051,3.1171840046386645,3.1276643511597735,-0.01,0.0,-0.02
143,2016-08-03,3.091,3.091,3.111,3.071,3.1131556962325724,3.1249484315230425,-0.01,-0.0,-0.02
144,2016-08-04,3.091,3.091,3.101,3.071,3.1097471275813042,3.122433697078139,-0.01,-0.0,-0.02
145,2016-08-05,3.081,3.081,3.101,3.081,3.105324492568683,3.1193644938593605,-0.01,-0.01,0.0
146,2016-08-08,3.081,3.131,3.131,3.081,3.109274570635125,3.120226393726722,-0.01,-0.01,0.0
147,2016-08-09,3.121,3.161,3.161,3.121,3.1172323289990977,3.123246695003653,-0.01,-0.01,0.0
148,2016-08-10,3.161,3.141,3.161,3.131,3.1208888937685244,3.124561768399096,-0.0,-0.01,0.02
149,2016-08-11,3.141,3.201,3.221,3.131,3.1332136793427594,3.130223914509253,0.0,-0.0,0.0
150,2016-08-12,3.171,3.191,3.201,3.141,3.142103882520895,3.134725887171028,0.01,-0.0,0.02
151,2016-08-15,3.191,3.221,3.251,3.181,3.1542417467485637,3.1411166153008976,0.01,0.0,0.02
152,2016-08-16,3.231,3.231,3.29,3.221,3.16605070878734,3.1477746950259533,0.02,0.0,0.04
153,2016-08-17,3.231,3.241,3.271,3.221,3.1775813689739807,3.154680322369878,0.02,0.01,0.02
154,2016-08-18,3.241,3.221,3.261,3.211,3.1842611583626366,3.1595929234895164,0.02,0.01,0.02
155,2016-08-19,3.221,3.241,3.251,3.191,3.192990210922273,3.1656231141370976,0.03,0.01,0.039999999999999994
156,2016-08-22,3.231,3.221,3.251,3.201,3.1972994092419404,3.1697251288814092,0.03,0.02,0.019999999999999997
157,2016-08-23,3.221,3.241,3.261,3.211,3.204022577050896,3.1750047766114946,0.03,0.02,0.019999999999999997
158,2016-08-24,3.241,3.221,3.251,3.221,3.206634488273843,3.178411846715596,0.03,0.02,0.019999999999999997
159,2016-08-25,3.211,3.181,3.221,3.171,3.2026907208470883,3.1786035626344105,0.02,0.02,0.0
160,2016-08-26,3.191,3.191,3.211,3.181,3.200892148409071,3.1795218210712433,0.02,0.02,0.0
161,2016-08-29,3.191,3.231,3.241,3.181,3.2055241255769147,3.183335034187593,0.02,0.02,0.0
162,2016-08-30,3.231,3.221,3.241,3.211,3.207905029334316,3.1861250415985403,0.02,0.02,0.0
163,2016-08-31,3.221,3.231,3.231,3.201,3.2114581017444253,3.1894491235604634,0.02,0.02,0.0
164,2016-09-01,3.231,3.171,3.231,3.171,3.2052337783991223,3.1880825176395984,0.02,0.02,0.0
165,2016-09-02,3.181,3.181,3.211,3.171,3.2015055047992544,3.1875578852190656,0.01,0.02,-0.02
166,2016-09-05,3.191,3.221,3.241,3.191,3.204504657907064,3.190035085395784,0.01,0.02,-0.02
167,2016-09-06,3.221,3.251,3.251,3.211,3.211657787459828,3.1945510159496826,0.02,0.02,0.0
168,2016-09-07,3.251,3.35,3.45,3.231,3.2329412047737125,3.206065781369674,0.03,0.02,0.019999999999999997
169,2016-09-08,3.33,3.32,3.35,3.3,3.246334865577763,3.2145053706703015,0.03,0.02,0.019999999999999997
170,2016-09-09,3.32,3.32,3.39,3.31,3.2576679631811887,3.222319802704178,0.04,0.02,0.04
171,2016-09-12,3.271,3.251,3.31,3.251,3.2566421226917748,3.2244442655507197,0.03,0.03,0.0
172,2016-09-13,3.261,3.251,3.29,3.241,3.255774103816117,3.2264113602386555,0.03,0.03,0.0
173,2016-09-14,3.221,3.211,3.241,3.161,3.2488857801520976,3.2252697762538394,0.02,0.03,-0.019999999999999997
174,2016-09-19,3.201,3.261,3.3,3.191,3.2507495062825447,3.2279164632401027,0.02,0.03,-0.019999999999999997
175,2016-09-20,3.251,3.241,3.251,3.231,3.249249582239076,3.2288856153812278,0.02,0.02,0.0
176,2016-09-21,3.241,3.251,3.271,3.221,3.2495188772792183,3.230523719933217,0.02,0.02,0.0
177,2016-09-22,3.261,3.231,3.271,3.231,3.246669819236261,3.230558999977801,0.02,0.02,0.0
178,2016-09-23,3.241,3.211,3.251,3.201,3.241182154738374,3.2291101836574643,0.01,0.02,-0.02
179,2016-09-26,3.201,3.161,3.211,3.141,3.228846438624777,3.2240649800083983,0.0,0.02,-0.04
180,2016-09-27,3.141,3.171,3.171,3.141,3.2199469865286563,3.220134237242816,-0.0,0.01,-0.02
181,2016-09-28,3.181,3.151,3.181,3.151,3.2093397578319394,3.2150131784032507,-0.01,0.01,-0.04
182,2016-09-29,3.161,3.161,3.181,3.151,3.2019028720116407,3.2110121991659537,-0.01,0.01,-0.04
183,2016-09-30,3.151,3.171,3.181,3.151,3.1971485840098497,3.20804833046267,-0.01,0.0,-0.02
184,2016-10-10,3.181,3.201,3.211,3.171,3.1977411095467962,3.207526231567618,-0.01,0.0,-0.02
185,2016-10-11,3.201,3.231,3.231,3.191,3.2028578619242123,3.2092650302847097,-0.01,-0.0,-0.02
186,2016-10-12,3.231,3.221,3.251,3.211,3.2056489600897184,3.210134287789204,-0.0,-0.0,0.0
187,2016-10-13,3.221,3.231,3.241,3.211,3.209549120075916,3.211679896905444,-0.0,-0.0,0.0
188,2016-10-14,3.241,3.221,3.241,3.201,3.2113107939103904,3.2123702752451058,-0.0,-0.0,0.0
189,2016-10-17,3.231,3.221,3.271,3.211,3.2128014410010994,3.213009514401039,-0.0,-0.0,0.0
190,2016-10-18,3.211,3.281,3.29,3.211,3.2232935270009304,3.2180458487481745,0.01,-0.0,0.02
191,2016-10-19,3.29,3.271,3.29,3.251,3.230632984385403,3.2219683799709258,0.01,0.0,0.02
192,2016-10-20,3.261,3.251,3.281,3.241,3.2337663714030334,3.224118871105095,0.01,0.0,0.02
193,2016-10-21,3.251,3.32,3.42,3.231,3.247033083494874,3.2312211792782772,0.02,0.01,0.02
194,2016-10-24,3.3,3.35,3.37,3.29,3.262874147572586,3.2400196131144594,0.02,0.01,0.02
195,2016-10-25,3.35,3.33,3.38,3.32,3.2732012017921885,3.246684828831783,0.03,0.01,0.039999999999999994
196,2016-10-26,3.33,3.3,3.35,3.29,3.2773240938241597,3.2506341017982736,0.03,0.02,0.019999999999999997
197,2016-10-27,3.3,3.29,3.32,3.281,3.279274233235827,3.2535500949605436,0.03,0.02,0.019999999999999997
198,2016-10-28,3.29,3.261,3.31,3.251,3.2764628127380075,3.254101939901447,0.02,0.02,0.0
199,2016-10-31,3.241,3.251,3.261,3.231,3.27254545693216,3.253872166527929,0.02,0.02,0.0
200,2016-11-01,3.251,3.271,3.271,3.241,3.2723076943272122,3.255140895176037,0.02,0.02,0.0
201,2016-11-02,3.261,3.231,3.271,3.231,3.265952664430718,3.253352680401727,0.01,0.02,-0.02
202,2016-11-03,3.231,3.261,3.29,3.211,3.265190716056761,3.2539191486130474,0.01,0.02,-0.02
203,2016-11-04,3.261,3.241,3.281,3.231,3.261469067432644,3.2529621744963477,0.01,0.01,0.0
204,2016-11-07,3.251,3.251,3.261,3.221,3.2598584416737757,3.252816828216916,0.01,0.01,0.0
205,2016-11-08,3.251,3.271,3.3,3.251,3.261572527570118,3.254163730005883,0.01,0.01,0.0
206,2016-11-09,3.281,3.241,3.29,3.231,3.2584075233285614,3.2531886387767575,0.01,0.01,0.0
207,2016-11-10,3.271,3.31,3.34,3.271,3.266344827431859,3.257396888226108,0.01,0.01,0.0
